
Object Detection Using Deep Learning:
• Time: 2024-05-29 15:41:03, Detected Objects: person
• Time: 2024-05-29 15:41:08, Detected Objects: person
• Time: 2024-05-29 15:41:08, Detected Objects: person
• Time: 2024-05-29 15:41:08, Detected Objects: person
• Time: 2024-05-29 15:41:08, Detected Objects: person
• Time: 2024-05-29 15:41:08, Detected Objects: person
• Time: 2024-05-29 15:41:08, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:09, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:10, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:11, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: person
• Time: 2024-05-29 15:41:12, Detected Objects: chair, person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:13, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:14, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: chair, person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:15, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:16, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:17, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:18, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:19, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:20, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:21, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:22, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:23, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person
• Time: 2024-05-29 15:41:24, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:24, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:24, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:24, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:24, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person, cell phone
• Time: 2024-05-29 15:41:25, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:26, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:27, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person, tie
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person
• Time: 2024-05-29 15:41:28, Detected Objects: person, remote
• Time: 2024-05-29 15:41:29, Detected Objects: person, remote
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:29, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:30, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:31, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:32, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:33, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:34, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:35, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:36, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:37, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:38, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:39, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person
• Time: 2024-05-29 15:41:40, Detected Objects: person

Overall Detected Objects:
• tie
• chair
• remote
• person
• cell phone
